streetLabel	personLabel	genderLabel	occupationLabel	coordinate	postalCode
Fidelio-F.-Finke-Straße	Fidelio F. Finke	männlich	Hochschullehrer	Point(13.81596 51.05198)	01326
Fidelio-F.-Finke-Straße	Fidelio F. Finke	männlich	Musikpädagoge	Point(13.81596 51.05198)	01326
Friedrich-Wieck-Straße	Friedrich Wieck	männlich	Komponist	Point(13.813455 51.053483)	01326
Friedrich-Wieck-Straße	Friedrich Wieck	männlich	Pianist	Point(13.813455 51.053483)	01326
Friedrich-Wieck-Straße	Friedrich Wieck	männlich	Musikkritiker	Point(13.813455 51.053483)	01326
Friedrich-Wieck-Straße	Friedrich Wieck	männlich	Musikwissenschaftler	Point(13.813455 51.053483)	01326
Friedrich-Wieck-Straße	Friedrich Wieck	männlich	Musikpädagoge	Point(13.813455 51.053483)	01326
Elsa-Brändström-Straße	Elsa Brändström	weiblich	Lehrer	Point(13.76552 51.02589)	01219
Elsa-Brändström-Straße	Elsa Brändström	weiblich	Gesundheits- und Krankenpfleger	Point(13.76552 51.02589)	01219
Elsa-Brändström-Straße	Elsa Brändström	weiblich	Pflegewissenschaftler	Point(13.76552 51.02589)	01219
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Schriftsteller	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Dichter	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Ingenieur	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Physiker	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Mathematiker	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Bibliothekar	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Jurist	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Diplomat	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Historiker	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Übersetzer	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Zoologe	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Geologe	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Archivar	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Biologe	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Philosoph	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Logiker	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Musikwissenschaftler	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Musiktheoretiker	Point(13.70748 51.02229)	01187
