streetLabel	personLabel	genderLabel	occupationLabel	coordinate	postalCode
Carolabrücke	Carola von Wasa-Holstein-Gottorp	weiblich	Philanthrop	Point(13.74703 51.05456)	01097
Albertplatz	Albert von Sachsen	männlich	Politiker	Point(13.7469 51.0633)	01097
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Schriftsteller	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Dichter	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Historiker	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Dramatiker	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Übersetzer	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Maler	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Journalist	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Nationaler Erwecker	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Sammler	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Literaturkritiker	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Publizist	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Romancier	Point(13.76305556 51.07038889)	01099
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Zeichner	Point(13.76305556 51.07038889)	01099
Erich Kästner Museum	Erich Kästner	männlich	Drehbuchautor	Point(13.7457 51.0638)	01097
Erich Kästner Museum	Erich Kästner	männlich	Schriftsteller	Point(13.7457 51.0638)	01097
Erich Kästner Museum	Erich Kästner	männlich	Dichter	Point(13.7457 51.0638)	01097
Erich Kästner Museum	Erich Kästner	männlich	Dramatiker	Point(13.7457 51.0638)	01097
Erich Kästner Museum	Erich Kästner	männlich	Journalist	Point(13.7457 51.0638)	01097
Erich Kästner Museum	Erich Kästner	männlich	Kinderbuchautor	Point(13.7457 51.0638)	01097
Erich Kästner Museum	Erich Kästner	männlich	Romancier	Point(13.7457 51.0638)	01097
