streetLabel	personLabel	genderLabel	coordinate	postalCode
Mildred-Scheel-Straße	Mildred Scheel	weiblich	Point(13.784034 51.055058)	01307
Terscheckstraße	Carl Adolph Terscheck	männlich	Point(13.774286 51.056933)	01307
Bönischplatz	Karl Friedrich Emil Bönisch	männlich	Point(13.762848 51.055816)	01307
Gutenbergstraße	Johannes Gutenberg	männlich	Point(13.769605 51.058009)	01307
Alfred-Schrapel-Straße	Alfred Schrapel	männlich	Point(13.769492 51.059442)	01307
Arnoldstraße	Johann Christoph Arnold	männlich	Point(13.768382 51.057209)	01307
Pfeifferhannsstraße	Heinrich Pfeiffer	männlich	Point(13.765624 51.05754)	01307
Florian-Geyer-Straße	Florian Geyer	männlich	Point(13.761798 51.057004)	01307
Bundschuhstraße	August Neidhardt von Gneisenau	männlich	Point(13.762643 51.057034)	01307
Thomas-Müntzer-Platz	Thomas Müntzer	männlich	Point(13.766742 51.059233)	01307
Roßbachstraße	Arwed Roßbach	männlich	Point(13.754481 51.054261)	01069
Rietschelstraße	Ernst Rietschel	männlich	Point(13.75375 51.052741)	01069
Pestalozzistraße	Johann Heinrich Pestalozzi	männlich	Point(13.75667 51.05132)	01069
Mathildenstraße	Mathilde von Sachsen	weiblich	Point(13.75255 51.048989)	01069
Blochmannstraße	Rudolf Sigismund Blochmann	männlich	Point(13.754569 51.048342)	01069
Rathenauplatz	Amalie Auguste von Bayern	weiblich	Point(13.747126 51.051496)	01069
Rathenauplatz	Walther Rathenau	männlich	Point(13.747126 51.051496)	01069
Uhlandstraße	Ludwig Uhland	männlich	Point(13.738102 51.034603)	01069
Andreas-Schubert-Straße	Johann Andreas Schubert	männlich	Point(13.736215 51.035911)	01069
Dr.-Külz-Ring	Wilhelm Külz	männlich	Point(13.737697 51.047327)	01067
Curt-Guratzsch-Straße	Curt Guratzsch	männlich	Point(13.82277 51.00019)	01257
Curt-Querner-Straße	Curt Querner	männlich	Point(13.777413 51.016322)	01219
Damaschkestraße	Adolf Damaschke	männlich	Point(13.859785 51.000585)	01259
Darwinstraße	Charles Darwin	männlich	Point(13.78453 51.11797)	01109
Defreggerstraße	Franz Defregger	männlich	Point(13.76303 51.0229)	01219
Degelestraße	Eugen Degele	männlich	Point(13.82821 51.06154)	01324
Dessauerstraße	Leopold I.	männlich	Point(13.67737 51.04161)	01169
Dettmerstraße	Friedrich Dettmer	männlich	Point(13.71445 51.08144)	01139
Dieselstraße	Rudolf Diesel	männlich	Point(13.827434 51.008191)	01257
Diesterwegstraße	Adolph Diesterweg	männlich	Point(13.852566 51.000561)	01259
Donndorfstraße	Adolf von Donndorf	männlich	Point(13.7528 51.02509)	01217
Dora-Stock-Straße	Dora Stock	weiblich	Point(13.7511 51.021696)	01217
Dora-Zschille-Straße	Dora Zschille	weiblich	Point(13.79732 50.98828)	01257
Dostojewskistraße	Fjodor Michailowitsch Dostojewski	männlich	Point(13.80989 51.06271)	01326
Droste-Hülshoff-Straße	Annette von Droste-Hülshoff	weiblich	Point(13.66647 51.06059)	01157
Edmund-Moeller-Weg	Edmund Moeller	männlich	Point(13.784463 51.018669)	01219
Egon-Erwin-Kisch-Straße	Egon Erwin Kisch	männlich	Point(13.73825 51.03128)	01069
Eichendorffstraße	Joseph von Eichendorff	männlich	Point(13.7044 51.04482)	01159
Einsteinstraße	Albert Einstein	männlich	Point(13.732905 51.03056)	01069
Elfride-Trötschel-Straße	Elfride Trötschel	weiblich	Point(13.79271 50.99184)	01239
Elisabeth-Boer-Straße	Elisabeth Boer	weiblich	Point(13.75943 51.08343)	01099
Elsa-Brändström-Straße	Elsa Brändström	weiblich	Point(13.76552 51.02589)	01219
Emil-Rosenow-Straße	Emil Rosenow	männlich	Point(13.69525 51.01254)	01189
Emil-Ueberall-Straße	Herbert von Bismarck	männlich	Point(13.69263 51.04373)	01159
Enno-Heidebroek-Straße	Enno Heidebroek	männlich	Point(13.79418 51.01613)	01237
Erich-Kästner-Straße	Erich Kästner	männlich	Point(13.80668 50.99656)	01257
Erich-Ockert-Weg	Erich Ockert	männlich	Point(13.79234 51.13916)	01108
Erlweinstraße	Hans Erlwein	männlich	Point(13.7349 51.03048)	01069
Erna-Sack-Straße	Erna Sack	weiblich	Point(13.78892 50.99089)	01239
Ernst-Toller-Straße	Ernst Toller	männlich	Point(13.80457 51.00014)	01257
Ernst-Wagner-Straße	Ernst Wagner	männlich	Point(13.7071 51.11594)	01468
Eugen-Bracht-Straße	Eugen Bracht	männlich	Point(13.77316 51.02232)	01219
Eugen-Dieterich-Straße	Eugen Dieterich	männlich	Point(13.84933 51.02826)	01326
Eva-Schulze-Knabe-Straße	Eva Schulze-Knabe	weiblich	Point(13.78348 51.01871)	01219
Ewald-Kluge-Straße	Ewald Kluge	männlich	Point(13.79475 51.13895)	01108
Ewald-Schönberg-Straße	Ewald Schönberg	männlich	Point(13.74364 51.02635)	01217
Fabricestraße	Alfred von Fabrice	männlich	Point(13.75491 51.08167)	01099
Fanny-Lewald-Straße	Fanny Lewald	weiblich	Point(13.8597 51.00348)	01259
Felix-Dahn-Weg	Felix Dahn	männlich	Point(13.67399 51.06272)	01157
Fichtestraße	Johann Gottlieb Fichte	männlich	Point(13.77775 51.11801)	01109
Fidelio-F.-Finke-Straße	Fidelio F. Finke	männlich	Point(13.81596 51.05198)	01326
Floriangasse	Florian von Lorch	männlich	Point(13.867824 51.146854)	01465
Prof.-Ricker-Straße	Gustav Ricker	männlich	Point(13.809156 51.024664)	01277
Paracelsusstraße	Paracelsus	männlich	Point(13.811008 51.023554)	01277
Hahnemannstraße	Samuel Hahnemann	männlich	Point(13.812362 51.023915)	01237
Suttnerstraße	Bertha von Suttner	weiblich	Point(13.812795 51.021702)	01237
Hanns-Rothbarth-Straße	Hanns Rothbarth	männlich	Point(13.812983 51.022212)	01237
Basedowstraße	Johann Bernhard Basedow	männlich	Point(13.813881 51.022362)	01237
Ackermannstraße	Karl Gustav Ackermann	männlich	Point(13.74768 51.0313)	01217
Adalbert-Stifter-Weg	Adalbert Stifter	männlich	Point(13.66077 51.05193)	01157
Agnes-Smedley-Straße	Agnes Smedley	weiblich	Point(13.70443 51.03326)	01187
Agneshöhe	Agnes Hottenroth	weiblich	Point(13.841721 51.038526)	01326
Albert-Fromme-Weg	Albert Fromme	männlich	Point(13.75149 51.08247)	01099
Albert-Richter-Straße	Albert Richter	männlich	Point(13.838606 51.122108)	01465
Albert-Schweitzer-Straße	Albert Schweitzer	männlich	Point(13.706702 51.021325)	01187
Albrechtshöhe	Albrecht der Beherzte	männlich	Point(13.62529 51.08051)	01156
Alexander-Herzen-Straße	Alexander Iwanowitsch Herzen	männlich	Point(13.786584 51.119335)	01109
Alfred-Darre-Weg	Max Alfred Darre	männlich	Point(13.6835 51.0242)	01187
Alfred-Schmieder-Straße	Alfred Schmieder	männlich	Point(13.6934 51.0324)	01159
Alfred-Thiele-Straße	Alfred Thiele	männlich	Point(13.687497 51.032032)	01159
Alojs-Andricki-Straße	Alois Andritzki	männlich	Point(13.829614 51.062928)	01324
Rudolf-Mauersberger-Straße	Rudolf Mauersberger	männlich	Point(13.774499 51.040645)	01309
Am Bramschkontor	Johann Ludwig Bramsch	männlich	Point(13.71928 51.06158)	01067
Junghansstraße	Eugen Ferdinand Junghans	männlich	Point(13.79306 51.0378)	01277
Körnerplatz	Christian Gottfried Körner	männlich	Point(13.81457 51.05417)	01326
Behrischstraße	Burkhard Leberecht Behrisch	männlich	Point(13.80334 51.04383)	01277
Tzschimmerstraße	Gabriel Tzschimmer	männlich	Point(13.79566 51.04693)	01309
Chiaverigasse	Gaetano Chiaveri	männlich	Point(13.737256 51.053124)	01067
Hertha-Lindner-Straße	Herta Lindner	weiblich	Point(13.72903 51.051467)	01067
Devrientstraße	Gustav Emil Devrient	männlich	Point(13.731281 51.057407)	01067
Bernhard-von-Lindenau-Platz	Bernhard von Lindenau	männlich	Point(13.733741 51.056035)	01067
Maxstraße	Maximilian von Sachsen	männlich	Point(13.727073 51.056821)	01067
Jahnstraße	Friedrich Ludwig Jahn	männlich	Point(13.723804 51.054727)	01067
Antonstraße	Anton	männlich	Point(13.742027 51.064692)	01097
Sophienstraße	Sophie von Brandenburg	weiblich	Point(13.734444 51.051944)	01067
Königsheimplatz	Arthur Willibald Königsheim	männlich	Point(13.78672 51.0538)	01307
Käthe-Kollwitz-Ufer	Käthe Kollwitz	weiblich	Point(13.783616 51.060718)	01307
Käthe-Kollwitz-Ufer	Käthe Kollwitz	weiblich	Point(13.783616 51.060718)	01309
Jorge-Gomondai-Platz	Jorge Gomondai	männlich	Point(13.74496 51.06181)	01097
Pastor-Roller-Kirche	Samuel David Roller	männlich	Point(13.807935 51.151451)	01108
Reichenbachstraße	Ludwig Reichenbach	männlich	Point(13.740472222 51.032527777)	01069
Reichenbachstraße	Ludwig Reichenbach	männlich	Point(13.740472222 51.032527777)	01217
Könneritzstraße	Leonce von Könneritz	männlich	Point(13.724444 51.055833)	01067
Stübelallee	Paul Alfred Stübel	männlich	Point(13.7699 51.04013)	01307
Stübelallee	Paul Alfred Stübel	männlich	Point(13.7699 51.04013)	01309
Goetheallee	Johann Wolfgang von Goethe	männlich	Point(13.7953 51.0577)	01309
Naumannstraße	Johann Gottlieb Naumann	männlich	Point(13.80531 51.0526)	01309
Robert-Blum-Straße	Robert Blum	männlich	Point(13.73755 51.06233)	01097
Zwinglistraße	Huldrych Zwingli	männlich	Point(13.78322 51.03395)	01277
Köpckestraße	Claus Koepcke	männlich	Point(13.74372 51.05729)	01097
Caspar-David-Friedrich-Straße	Caspar David Friedrich	männlich	Point(13.7575 51.02728)	01219
Caspar-David-Friedrich-Straße	Caspar David Friedrich	männlich	Point(13.7575 51.02728)	01217
Friedrichstraße	Friedrich August I.	männlich	Point(13.71941 51.0595)	01067
Güntzstraße	Elija	männlich	Point(13.7575 51.0507)	01069
Güntzstraße	Elija	männlich	Point(13.7575 51.0507)	01307
Güntzstraße	Justus Friedrich Güntz	männlich	Point(13.7575 51.0507)	01069
Güntzstraße	Justus Friedrich Güntz	männlich	Point(13.7575 51.0507)	01307
Pohlandstraße	Carl Christian Pohland	männlich	Point(13.79696 51.04664)	01309
Ermelstraße	Friedrich August Ermel	männlich	Point(13.79839 51.04565)	01277
Karcherallee	Johann Friedrich Karcher	männlich	Point(13.77458 51.03319)	01219
Karcherallee	Johann Friedrich Karcher	männlich	Point(13.77458 51.03319)	01277
Bernhardstraße	Bernhard von Lindenau	männlich	Point(13.71892 51.03215)	01069
Bernhardstraße	Bernhard von Lindenau	männlich	Point(13.71892 51.03215)	01187
Lennéstraße	Peter Joseph Lenné	männlich	Point(13.75088 51.0421)	01069
Rudolf-Renner-Straße	Rudolf Renner	männlich	Point(13.69251 51.04747)	01157
Rudolf-Renner-Straße	Rudolf Renner	männlich	Point(13.69251 51.04747)	01159
Altstrehlen	Friedrich August III.	männlich	Point(13.76288 51.02718)	01219
Pfotenhauerstraße	Wilhelm Pfotenhauer	männlich	Point(13.77215 51.05763)	01307
Hertelstraße	Theodor Julius Hertel	männlich	Point(13.77221 51.05842)	01307
Neubertstraße	Heinrich Moritz Neubert	männlich	Point(13.77437 51.05836)	01307
Mommsenstraße	Theodor Mommsen	männlich	Point(13.72833 51.0272)	01069
Helmholtzstraße	Hermann von Helmholtz	männlich	Point(13.725 51.02812)	01069
George-Bähr-Straße	George Bähr	männlich	Point(13.72554 51.02985)	01069
Liebigstraße	Justus von Liebig	männlich	Point(13.72238 51.03322)	01069
Liebigstraße	Justus von Liebig	männlich	Point(13.72238 51.03322)	01187
Eisenstuckstraße	Christian Gottlieb Eisenstuck	männlich	Point(13.72264 51.03523)	01069
Jacobistraße	Johann Georg Ferdinand Jacobi	männlich	Point(13.79506 51.04791)	01309
Anton-Graff-Straße	Anton Graff	männlich	Point(13.772651111 51.045063888)	01309
Gabelsbergerstraße	Franz Xaver Gabelsberger	männlich	Point(13.776412 51.04935)	01307
Gabelsbergerstraße	Franz Xaver Gabelsberger	männlich	Point(13.776412 51.04935)	01309
Dornblüthstraße	Marcus Dornblüth	männlich	Point(13.799837 51.044437)	01277
Bergmannstraße	Ehregott Friedrich Bergmann	männlich	Point(13.789572 51.045027)	01309
Bertolt-Brecht-Allee	Bertolt Brecht	männlich	Point(13.780644 51.04225)	01309
Comeniusstraße	Johann Amos Comenius	männlich	Point(13.768107 51.042335)	01307
Comeniusstraße	Johann Amos Comenius	männlich	Point(13.768107 51.042335)	01309
Arno-Lade-Straße	Arno Lade	männlich	Point(13.718967 51.080015)	01127
Hüblerplatz	Balthasar Hübler	männlich	Point(13.793991 51.048973)	01309
Prellerstraße	Friedrich August I.	männlich	Point(13.79832 51.052616)	01309
Prellerstraße	Friedrich Preller der Jüngere	männlich	Point(13.79832 51.052616)	01309
Hüblerstraße	Balthasar Hübler	männlich	Point(13.799176 51.050385)	01309
Lene-Glatzer-Straße	Friedrich I.	männlich	Point(13.791326 51.050248)	01309
Lene-Glatzer-Straße	Helene Glatzer	weiblich	Point(13.791326 51.050248)	01309
Rosa-Menzer-Straße	Rosa Menzer	weiblich	Point(13.788946 51.046716)	01309
Barbarossaplatz	Friedrich I.	männlich	Point(13.790798 51.048416)	01309
Pohlandplatz	Carl Christian Pohland	männlich	Point(13.794346 51.043357)	01309
Tittmannstraße	Karl Christian Tittmann	männlich	Point(13.78305 51.048279)	01309
Hans-Böheim-Straße	Hans Böhm	männlich	Point(13.776593 51.046006)	01309
Krenkelstraße	Max Krenkel	männlich	Point(13.776226 51.04644)	01309
Heubnerstraße	Otto Leonhard Heubner	männlich	Point(13.775667 51.04101)	01309
Holbeinstraße	Hans Holbein der Jüngere	männlich	Point(13.774905 51.04843)	01307
Holbeinstraße	Hans Holbein der Jüngere	männlich	Point(13.774905 51.04843)	01309
Lipsiusstraße	Constantin Lipsius	männlich	Point(13.772418 51.041565)	01309
Löscherstraße	Valentin Ernst Löscher	männlich	Point(13.782647 51.049813)	01309
Mosenstraße	Julius Mosen	männlich	Point(13.777045 51.043712)	01309
Müller-Berset-Straße	Marie Berset	weiblich	Point(13.778157 51.042035)	01309
Melitta-Bentz-Straße	Melitta Bentz	weiblich	Point(13.764416 51.086093)	01099
Meschwitzstraße	Friedrich Wilhelm Meschwitz	männlich	Point(13.766304 51.084114)	01099
Michaelisstraße	Johann Gottlieb Michaelis	männlich	Point(13.80081 50.99414)	01257
Müller-Armack-Straße	Alfred Müller-Armack	männlich	Point(13.77504 51.12836)	01109
Nicodéstraße	Jean Louis Nicodé	männlich	Point(13.834772 51.123897)	01465
Oeserstraße	Adam Friedrich Oeser	männlich	Point(13.82195 51.05312)	01326
Oskar-Kokoschka-Straße	Oskar Kokoschka	männlich	Point(13.7692 51.02686)	01219
Oskar-von-Miller-Straße	Oskar von Miller	männlich	Point(13.83053 50.98616)	01259
Otto-Altenkirch-Straße	Otto Altenkirch	männlich	Point(13.74472 51.02463)	01217
Otto-Ludwig-Straße	Otto Ludwig	männlich	Point(13.84046 51.03817)	01326
Otto-Schindler-Straße	Otto Schindler	männlich	Point(13.87646 51.00658)	01326
Pabststraße	Julius Pabst	männlich	Point(13.830855 51.057239)	01326
Pastor-Roller-Straße	Samuel David Roller	männlich	Point(13.80478 51.15141)	01108
Patrice-Lumumba-Straße	Patrice Lumumba	männlich	Point(13.74527 51.02994)	01217
Paul-Wicke-Straße	Paul Wicke	männlich	Point(13.79682 51.14281)	01108
Peter-Vischer-Straße	Peter Vischer der Ältere	männlich	Point(13.829564 50.986809)	01259
Pochmannstraße	Traugott Leberecht Pochmann	männlich	Point(13.77281 51.02238)	01219
Prof.-von-Finck-Straße	Julius Finck	männlich	Point(13.78375 51.11538)	01109
Raimundstraße	Ferdinand Raimund	männlich	Point(13.68758 51.05723)	01157
Rathenaustraße	Walther Rathenau	männlich	Point(13.8024 51.14343)	01108
Reckestraße	Elisa von der Recke	weiblich	Point(13.705825 51.029053)	01187
Renkstraße	Friedrich Renk	männlich	Point(13.73485 51.03109)	01069
Richard-Riemerschmid-Straße	Richard Riemerschmid	männlich	Point(13.75345 51.11735)	01109
Hallwachsstraße	Wilhelm Hallwachs	männlich	Point(13.72656 51.02627)	01069
Dülferstraße	Martin Dülfer	männlich	Point(13.72721 51.02672)	01069
Weißbachstraße	Karl Weißbach	männlich	Point(13.72918 51.02673)	01069
Zeunerstraße	Friedrich Wilhelm III.	männlich	Point(13.73262 51.0266)	01069
Zeunerstraße	Gustav Zeuner	männlich	Point(13.73262 51.0266)	01069
Wernerstraße	Abraham Gottlob Werner	männlich	Point(13.70396 51.04628)	01159
Heinrich-Greif-Straße	Heinrich Greif	männlich	Point(13.74249 51.02694)	01217
Karl-Laux-Straße	Karl Laux	männlich	Point(13.77461 51.01163)	01219
Kurt-Exner-Weg	Ernst Kurt Exner	männlich	Point(13.77278 51.01098)	01219
Wilhelm-Franke-Straße	Wilhelm Franke	männlich	Point(13.76972 51.01265)	01219
Thomas-Mann-Straße	Thomas Mann	männlich	Point(13.77159 51.01028)	01219
Ricarda-Huch-Straße	Ricarda Huch	weiblich	Point(13.76796 51.0101)	01219
Theodor-Storm-Straße	Theodor Storm	männlich	Point(13.7716 51.00959)	01219
Heinrich-Heine-Straße	Heinrich Heine	männlich	Point(13.77354 51.00892)	01219
Ingeborg-Bachmann-Straße	Ingeborg Bachmann	weiblich	Point(13.77238 51.00889)	01219
Marianne-Bruns-Straße	Marianne Bruns	weiblich	Point(13.77151 51.00874)	01219
Martin-Raschke-Straße	Martin Raschke	männlich	Point(13.77071 51.00882)	01219
Kurt-Liebmann-Straße	Kurt Liebmann	männlich	Point(13.76996 51.00897)	01219
Röntgenstraße	Wilhelm Conrad Röntgen	männlich	Point(13.77227 51.00576)	01239
Schnorrstraße	Julius Schnorr von Carolsfeld	männlich	Point(13.73863 51.03461)	01069
Semperstraße	Gottfried Semper	männlich	Point(13.74589 51.03372)	01069
Wielandstraße	Christoph Martin Wieland	männlich	Point(13.72478 51.04178)	01069
Winckelmannstraße	Johann Joachim Winckelmann	männlich	Point(13.73032 51.03717)	01069
Rabenerstraße	Gottlieb Wilhelm Rabener	männlich	Point(13.7393 51.03544)	01069
Gutzkowstraße	Karl Gutzkow	männlich	Point(13.74035 51.03404)	01069
Rohlfsstraße	Gerhard Rohlfs	männlich	Point(13.73829 51.03203)	01069
Kellstraße	Karl Hermann Kell	männlich	Point(13.71865 51.0424)	01069
Henriette-Heber-Straße	Henriette Heber	weiblich	Point(13.71869 51.04117)	01069
Lahmannring	Heinrich Lahmann	männlich	Point(13.81757 51.06394)	01324
Lehnertstraße	Theodor Lehnert	männlich	Point(13.81708 51.06287)	01324
Hermann-Prell-Straße	Hermann Prell	männlich	Point(13.8136 51.06274)	01326
Hermann-Prell-Straße	Hermann Prell	männlich	Point(13.8136 51.06274)	01324
Küntzelmannstraße	Ludwig Küntzelmann	männlich	Point(13.81633 51.0628)	01324
Oskar-Pletsch-Straße	Oscar Pletsch	männlich	Point(13.82227 51.06042)	01324
Luboldtstraße	Rudolf August Luboldt	männlich	Point(13.8201 51.06172)	01324
Oskar-Seyffert-Straße	Oskar Seyffert	männlich	Point(13.68803 51.01163)	01189
Paul-Büttner-Straße	Paul Büttner	männlich	Point(13.68994 51.00941)	01189
Schillingstraße	Johannes Schilling	männlich	Point(13.70173 51.04245)	01159
Gröbelstraße	Christian Ernst August Gröbel	männlich	Point(13.70227 51.04308)	01159
Franz-Bänsch-Straße	Franz Bänsch	männlich	Point(13.74322 51.01823)	01217
Franz-Curti-Straße	Franz Curti	männlich	Point(13.82885 51.05189)	01326
Franz-Latzel-Straße	Franz Latzel	männlich	Point(13.83851 51.00776)	01257
Franz-Mehring-Straße	Franz Mehring	männlich	Point(13.81342 51.01654)	01237
Franz-Rädlein-Weg	Franz Rädlein	männlich	Point(13.81721 51.14735)	01108
Franz-Werfel-Straße	Franz Werfel	männlich	Point(13.808646 50.999143)	01257
Franziska-Tiburtius-Straße	Franziska Tiburtius	weiblich	Point(13.83266 51.04991)	01326
Freiligrathstraße	Ferdinand Freiligrath	männlich	Point(13.6802 51.06074)	01157
Friederike-Serre-Weg	Friederike Serre	weiblich	Point(13.79044 51.02477)	01237
Friedrich-Adolph-Sorge-Straße	Friedrich Adolf Sorge	männlich	Point(13.82123 51.00079)	01257
Friedrich-August-Straße	Friedrich August III.	männlich	Point(13.60669 51.08999)	01156
Friedrich-Ebert-Straße	Friedrich Ebert	männlich	Point(13.82873 50.99461)	01259
Friedrich-Hegel-Straße	Georg Wilhelm Friedrich Hegel	männlich	Point(13.71143 51.02441)	01187
Friedrich-Kind-Straße	Johann Friedrich Kind	männlich	Point(13.85005 51.00977)	01259
Friedrich-Press-Straße	Friedrich Press	männlich	Point(13.82014 51.04828)	01326
Friedrich-Wieck-Straße	Friedrich Wieck	männlich	Point(13.813455 51.053483)	01326
Friedrich-Wolf-Straße	Friedrich Wolf	männlich	Point(13.83767 51.12502)	01465
Fritz-Busch-Straße	Fritz Busch	männlich	Point(13.77346 51.01292)	01219
Fritz-Meinhardt-Straße	Fritz Meinhardt	männlich	Point(13.78606 50.99535)	01239
Fritz-Schreiter-Straße	Fritz Schreiter	männlich	Point(13.84833 50.99103)	01259
Fritz-Schulze-Straße	Otto Planetta	männlich	Point(13.69976 51.03095)	01159
Fritz-Schulze-Straße	Fritz Schulze	männlich	Point(13.69976 51.03095)	01159
Försterlingstraße	Friedrich Wilhelm Emil Försterling	männlich	Point(13.83223 51.00261)	01259
Försterstraße	Friedrich Wilhelm Foerster	männlich	Point(13.68952 51.01068)	01189
Ganghoferstraße	Ludwig Ganghofer	männlich	Point(13.84985 51.00076)	01259
Geinitzstraße	Hanns Bruno Geinitz	männlich	Point(13.746099 51.031352)	01217
Georg-Estler-Straße	Georg Estler	männlich	Point(13.78591 51.11385)	01109
Georg-Marwitz-Straße	Georg Marwitz	männlich	Point(13.80774 51.01873)	01237
Georg-Mehrtens-Straße	Georg Christoph Mehrtens	männlich	Point(13.7935 51.01551)	01237
Georg-Palitzsch-Straße	Johann Georg Palitzsch	männlich	Point(13.7934 51.00393)	01239
Georg-Schumann-Straße	Georg Schumann	männlich	Point(13.72186 51.02795)	01187
Georg-Wrba-Straße	Georg Wrba	männlich	Point(13.747348 51.032729)	01069
Gertrud-Caspari-Straße	Gertrud Caspari	weiblich	Point(13.78077 51.11465)	01109
Geystraße	Leonhard Gey	männlich	Point(13.75562 51.02338)	01217
Gillestraße	Christian Friedrich Gille	männlich	Point(13.770362 51.018225)	01219
Goethestraße	Johann Wolfgang von Goethe	männlich	Point(13.78386 51.1193)	01109
Gohliser Straße	Hermann Ahlwardt	männlich	Point(13.69555 51.04723)	01157
Gohliser Straße	Hermann Ahlwardt	männlich	Point(13.69555 51.04723)	01159
Ludwig-Kugelmann-Straße	Louis Kugelmann	männlich	Point(13.842852 51.004255)	01259
Putjatinstraße	Nikolai Abramowitsch Putjatin	männlich	Point(13.84739 51.00405)	01259
Peter-Schmoll-Straße	Peter Schmoll	männlich	Point(13.856577 51.00949)	01259
Hans Körnig Museum	Hans Körnig	männlich	Point(13.74014 51.06146)	01097
Otto-Pilz-Straße	Otto Pilz	männlich	Point(13.75331 51.01967)	01217
Gußmannstraße	Otto Gussmann	männlich	Point(13.75769 51.02193)	01217
Knöffelstraße	Johann Christoph Knöffel	männlich	Point(13.75648 51.02311)	01217
Albertbrücke	Albert von Sachsen	männlich	Point(13.7545 51.0573)	01069
Albertbrücke	Albert von Sachsen	männlich	Point(13.7545 51.0573)	01307
Albertbrücke	Albert von Sachsen	männlich	Point(13.7545 51.0573)	01097
Albertbrücke	Albert von Sachsen	männlich	Point(13.7545 51.0573)	01099
Fröbelstraße	Friedrich Fröbel	männlich	Point(13.7051 51.0511)	01159
Königstraße	August der Starke	männlich	Point(13.741 51.0609)	01097
Marienbrücke	Maria Anna von Bayern	weiblich	Point(13.7319 51.0608)	01067
Marienbrücke	Maria Anna von Bayern	weiblich	Point(13.7319 51.0608)	01097
Marienstraße	Maria Anna von Bayern	weiblich	Point(13.7329 51.0488)	01067
Schillerplatz	Friedrich Schiller	männlich	Point(13.8069 51.0521)	01309
Wasaplatz	Gustav von Schweden	männlich	Point(13.7594 51.0282)	01219
Washingtonstraße	George Washington	männlich	Point(13.6925 51.0833)	01139
Albertstraße	Albert von Sachsen	männlich	Point(13.7461 51.0603)	01097
Antonsplatz	Anton	männlich	Point(13.7336 51.0489)	01067
Ammonstraße	Christoph Ammon	männlich	Point(13.7224 51.0461)	01067
Ammonstraße	Christoph Ammon	männlich	Point(13.7224 51.0461)	01069
Fritz-Foerster-Platz	Fritz Foerster	männlich	Point(13.730678 51.030255)	01069
Rosa-Luxemburg-Platz	Rosa Luxemburg	weiblich	Point(13.75291667 51.05868056)	01097
Rosa-Luxemburg-Platz	Rosa Luxemburg	weiblich	Point(13.75291667 51.05868056)	01099
Carolaplatz	Carola von Wasa-Holstein-Gottorp	weiblich	Point(13.74633333 51.05733333)	01097
Beethovenstraße	Ludwig van Beethoven	männlich	Point(13.84375 51.12459)	01465
Roßweiner Straße	Christoph von Carlowitz	männlich	Point(13.68536 51.04268)	01159
Rubensweg	Peter Paul Rubens	männlich	Point(13.747578 51.022286)	01217
Rudi-Lattner-Straße	Rudi Lattner	männlich	Point(13.69425 51.02829)	01187
Rudolf-Harbig-Weg	Rudolf Harbig	männlich	Point(13.72476 51.06234)	01067
Rudolf-Kempe-Straße	Rudolf Kempe	männlich	Point(13.78955 50.99128)	01239
Rudolf-Nehmer-Straße	Rudolf Nehmer	männlich	Point(13.76577 51.124)	01109
Rudolf-Trache-Straße	Rudolf Trache	männlich	Point(13.825164 51.126617)	01465
Rugestraße	Eduard Bendemann	männlich	Point(13.727445 51.033865)	01069
Rugestraße	Sophus Ruge	männlich	Point(13.727445 51.033865)	01069
Schaberschulstraße	Max Schaberschul	männlich	Point(13.820509 51.129071)	01465
Schaumbergerstraße	Heinrich Schaumberger	männlich	Point(13.67265 51.05816)	01157
Schillerstraße	Friedrich Schiller	männlich	Point(13.812772 51.060006)	01326
Schillerstraße (Gohlis)	Friedrich Schiller	männlich	Point(13.635204 51.089816)	01156
Schillerstraße (Langebrück)	Friedrich Schiller	männlich	Point(13.847825 51.128046)	01465
Schillingplatz	Johannes Schilling	männlich	Point(13.699377 51.042318)	01159
Schleiermacherstraße	Friedrich Schleiermacher	männlich	Point(13.703999 51.027815)	01187
Schongauerstraße	Martin Schongauer	männlich	Point(13.818283 50.993945)	01259
Schopenhauerstraße	Arthur Schopenhauer	männlich	Point(13.70635 51.02461)	01187
Schumannstraße	Robert Schumann	männlich	Point(13.765805 51.04488)	01307
Siemensstraße	Werner von Siemens	männlich	Point(13.82919 51.00377)	01257
Silcherstraße	Friedrich Silcher	männlich	Point(13.77081 51.10986)	01109
Spittastraße	Philipp Spitta	männlich	Point(13.786457 51.048133)	01309
Straußstraße	Moritz August Strauß	männlich	Point(13.8346 51.06127)	01324
Tauberthstraße	Otto Volkmar Tauberth	männlich	Point(13.690895 51.068269)	01139
Theodor-Fontane-Straße	Theodor Fontane	männlich	Point(13.787375 51.121795)	01109
Tichystraße	Hans Tichy	männlich	Point(13.776786 51.118434)	01109
Tirmannstraße	Nicolaus Tirmann	männlich	Point(13.736743 51.018222)	01217
Toni-Sender-Straße	Tony Sender	weiblich	Point(13.752406 51.082922)	01099
Gerhart-Hauptmann-Straße (Langebrück)	Gerhart Hauptmann	männlich	Point(13.834 51.12362)	01465
Traute-Richter-Straße	Traute Richter	weiblich	Point(13.76702 51.11579)	01109
Tschirnhausstraße	Ehrenfried Walther von Tschirnhaus	männlich	Point(13.784645 50.994723)	01239
Waltherstraße	Hermann Walther	männlich	Point(13.7092 51.0567)	01067
