streetLabel	personLabel	genderLabel	coordinate	postalCode
Zelenkastraße	Jan Dismas Zelenka	männlich	Point(13.704036 51.079452)	01139
Franz-Lehmann-Straße	Franz Lehmann	männlich	Point(13.712104 51.080344)	01139
Dreyßigplatz	Anton Dreyssig	männlich	Point(13.713105 51.080928)	01139
Gaußstraße	Carl Friedrich Gauß	männlich	Point(13.711208 51.087368)	01139
Tichatscheckstraße	Joseph Tichatschek	männlich	Point(13.713413 51.083262)	01139
Guts-Muths-Straße	Johann Christoph Friedrich GutsMuths	männlich	Point(13.713982 51.085247)	01139
Krantzstraße	Eugen Krantz	männlich	Point(13.714846 51.084876)	01139
Rietzstraße	Julius Rietz	männlich	Point(13.708751 51.08278)	01139
Wüllnerstraße	Franz Wüllner	männlich	Point(13.712023 51.082292)	01127
Wüllnerstraße	Franz Wüllner	männlich	Point(13.712023 51.082292)	01139
Bunsenstraße	Robert Wilhelm Bunsen	männlich	Point(13.707004 51.083311)	01139
Wöhlerstraße	Friedrich Wöhler	männlich	Point(13.707664 51.083555)	01139
Roßmäßlerstraße	Emil Adolf Roßmäßler	männlich	Point(13.708865 51.08371)	01139
Pettenkoferstraße	Max von Pettenkofer	männlich	Point(13.706878 51.085041)	01139
Peschelstraße	Oscar Peschel	männlich	Point(13.697869 51.087551)	01139
Wächterstraße	Karl Georg von Wächter	männlich	Point(13.69975 51.08519)	01139
Baudissinstraße	Wolf Heinrich von Baudissin	männlich	Point(13.701029 51.087786)	01139
Leuckartstraße	Rudolph Leuckhart	männlich	Point(13.700273 51.086499)	01139
Rankestraße	Leopold von Ranke	männlich	Point(13.697476 51.088385)	01139
Fechnerstraße	Gustav Theodor Fechner	männlich	Point(13.702063 51.0851)	01139
Schenkendorfstraße	Max von Schenkendorf	männlich	Point(13.701294 51.08601)	01139
Quandtstraße	Johann Gottlob von Quandt	männlich	Point(13.701148 51.090386)	01139
Roscherstraße	Wilhelm Roscher	männlich	Point(13.701574 51.089131)	01139
Kolbestraße	Hermann Kolbe	männlich	Point(13.701935 51.089651)	01139
Dungerstraße	Hermann Dunger	männlich	Point(13.695839 51.091058)	01139
Geibelstraße	Emanuel Geibel	männlich	Point(13.696945 51.089511)	01139
Hans-Fromm-Straße	Hans Fromm	männlich	Point(13.720573 51.076802)	01127
Hedwig-Langner-Weg	Hedwig Langner	weiblich	Point(13.724718 51.07472)	01127
Rosa-Steinhart-Straße	Rosa Steinhart	weiblich	Point(13.7256 51.075026)	01127
Pestalozziplatz	Johann Heinrich Pestalozzi	männlich	Point(13.733081 51.078859)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Point(13.729355 51.070474)	01127
Eschebachstraße	Carl Eschebach	männlich	Point(13.732781 51.082159)	01127
Barbarastraße	Barbara von Nikomedien	weiblich	Point(13.724391 51.084606)	01129
Hubertusstraße	Hubertus von Lüttich	männlich	Point(13.72397 51.090322)	01129
Hubertusplatz	Hubertus von Lüttich	männlich	Point(13.723634 51.089765)	01129
Bernard-Shaw-Straße	George Bernard Shaw	männlich	Point(13.855709 50.999214)	01259
Bernd-Aldenhoff-Straße	Bernd Aldenhoff	männlich	Point(13.796594 50.986629)	01257
Bernhard-Kretzschmar-Straße	Bernhard Kretzschmar	männlich	Point(13.783288 51.019805)	01219
